original_name,source,suggested_cas,suggested_name,pubchem_cid,confidence,notes
Ergometrine,PubChem_API,60-79-7,"(6aR,9R)-N-[(2S)-1-hydroxypropan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",443884.0,High,Direct match from PubChem API.
Methiocarb-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Methiocarb-2/property/IUPACName/JSON
"13C2,D4 10:2 FTS",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13C2,D4%2010:2%20FTS/property/IUPACName/JSON"
Selamectin,PubChem_API,220119-17-5,"(1R,4S,5'S,6R,6'S,8R,10E,12S,13S,14E,16E,20R,21Z,24S)-6'-cyclohexyl-24-hydroxy-21-hydroxyimino-12-[(2R,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",9578507.0,High,Direct match from PubChem API.
crufomate,PubChem_API,299-86-5,N-[(4-tert-butyl-2-chlorophenoxy)-methoxyphosphoryl]methanamine,9300.0,High,Direct match from PubChem API.
ethiprole,PubChem_API,181587-01-9,"5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-ethylsulfinylpyrazole-3-carbonitrile",9930667.0,High,Direct match from PubChem API.
Digoxigenin-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Digoxigenin-2/property/IUPACName/JSON
cholic acid 2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cholic%20acid%202/property/IUPACName/JSON
Oxytetracycline,PubChem_API,79-57-2,"(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",54675779.0,High,Direct match from PubChem API.
pretilachlor,PubChem_API,51218-49-6,"2-chloro-N-(2,6-diethylphenyl)-N-(2-propoxyethyl)acetamide",91644.0,High,Direct match from PubChem API.
Ractopamine,PubChem_API,97825-25-7,4-[3-[[2-hydroxy-2-(4-hydroxyphenyl)ethyl]amino]butyl]phenol,56052.0,High,Direct match from PubChem API.
methobromuron,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/methobromuron/property/IUPACName/JSON
Ergocristinine,PubChem_API,511-07-9,"(6aR,9S)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",7067483.0,High,Direct match from PubChem API.
haloxyfop-methyl,PubChem_API,69806-40-2,methyl 2-[4-[[3-chloro-5-(trifluoromethyl)-2-pyridinyl]oxy]phenoxy]propanoate,50896.0,High,Direct match from PubChem API.
Atropine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Atropine-1/property/IUPACName/JSON
disulfoton sulfone,PubChem_API,2497-06-5,diethoxy-(2-ethylsulfonylethylsulfanyl)-sulfanylidene-lambda5-phosphane,17241.0,High,Direct match from PubChem API.
Oxycodone-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Oxycodone-1/property/IUPACName/JSON
hymexazol,PubChem_API,10004-44-1,"5-methyl-1,2-oxazol-3-one",24781.0,High,Direct match from PubChem API.
DCCD,PubChem_API,538-75-0,"N,N'-dicyclohexylmethanediimine",10868.0,High,Direct match from PubChem API.
benzofenap,PubChem_API,82692-44-2,"2-[4-(2,4-dichloro-3-methylbenzoyl)-1,3-dimethylpyrazol-5-yl]oxy-1-(4-methylphenyl)ethanone",94686.0,High,Direct match from PubChem API.
11Cl-PF3OUdS,PubChem_API,763051-92-9,"2-(8-chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctoxy)-1,1,2,2-tetrafluoroethanesulfonic acid",15099039.0,High,Direct match from PubChem API.
Strychnine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Strychnine-1/property/IUPACName/JSON
Narasin,PubChem_API,55134-13-9,"(2R)-2-[(2R,3S,5S,6R)-6-[(2S,3S,4S,6R)-6-[(3S,5S,7R,9S,10S,12R,15R)-3-[(2R,5R,6S)-5-ethyl-5-hydroxy-6-methyloxan-2-yl]-15-hydroxy-3,10,12-trimethyl-4,6,8-trioxadispiro[4.1.57.35]pentadec-13-en-9-yl]-3-hydroxy-4-methyl-5-oxooctan-2-yl]-3,5-dimethyloxan-2-yl]butanoic acid",65452.0,High,Direct match from PubChem API.
pyrimitate,PubChem_API,5221-49-8,"4-diethoxyphosphinothioyloxy-N,N,6-trimethylpyrimidin-2-amine",21289.0,High,Direct match from PubChem API.
Scopolamine,PubChem_API,51-34-3,"[(1S,2S,4R,5R)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate",3000322.0,High,Direct match from PubChem API.
pyroquilon,PubChem_API,57369-32-1,"1-azatricyclo[6.3.1.04,12]dodeca-4,6,8(12)-trien-11-one",91665.0,High,Direct match from PubChem API.
Digitoxigenin,PubChem_API,143-62-4,"3-[(3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",4369270.0,High,Direct match from PubChem API.
acifluorfen,PubChem_API,50594-66-6,5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,44073.0,High,Direct match from PubChem API.
fluoroglycofen-ethyl,PubChem_API,77501-90-7,(2-ethoxy-2-oxoethyl) 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,53672.0,High,Direct match from PubChem API.
allidochlor,PubChem_API,93-71-0,"2-chloro-N,N-bis(prop-2-enyl)acetamide",7157.0,High,Direct match from PubChem API.
Emamectin-N-methyl formyl amino,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Emamectin-N-methyl%20formyl%20amino/property/IUPACName/JSON
terbufos sulfone,PubChem_API,56070-16-7,tert-butylsulfonylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,41718.0,High,Direct match from PubChem API.
Zilpaterol,PubChem_API,119520-05-7,"(9R,10R)-9-hydroxy-10-(propan-2-ylamino)-1,3-diazatricyclo[6.4.1.04,13]trideca-4,6,8(13)-trien-2-one",3086576.0,High,Direct match from PubChem API.
simeconazole,PubChem_API,149508-90-7,"2-(4-fluorophenyl)-1-(1,2,4-triazol-1-yl)-3-trimethylsilylpropan-2-ol",10085783.0,High,Direct match from PubChem API.
Flunixin,PubChem_API,38677-85-9,2-[2-methyl-3-(trifluoromethyl)anilino]pyridine-3-carboxylic acid,38081.0,High,Direct match from PubChem API.
Sarafloxacin,PubChem_API,98105-99-8,6-fluoro-1-(4-fluorophenyl)-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,56208.0,High,Direct match from PubChem API.
3-AcDON,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/3-AcDON/property/IUPACName/JSON
Tylosin,PubChem_API,1401-69-0,"2-[(4R,5S,6S,7R,9R,11E,13E,15R,16R)-6-[(2R,3R,4R,5S,6R)-5-[(2S,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-16-ethyl-4-hydroxy-15-[[(2R,3R,4R,5R,6R)-5-hydroxy-3,4-dimethoxy-6-methyloxan-2-yl]oxymethyl]-5,9,13-trimethyl-2,10-dioxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde",5280440.0,High,Direct match from PubChem API.
methoprotryne,PubChem_API,841-06-5,"4-N-(3-methoxypropyl)-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",13290.0,High,Direct match from PubChem API.
flusulfamide,PubChem_API,106917-52-6,4-chloro-N-(2-chloro-4-nitrophenyl)-3-(trifluoromethyl)benzenesulfonamide,86268.0,High,Direct match from PubChem API.
