original_name,source,suggested_cas,suggested_name,pubchem_cid,confidence,notes
Sulfachloropyridazine,PubChem_API,80-32-0,4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide,6634.0,High,Direct match from PubChem API.
dimefox,PubChem_API,115-26-4,N-[dimethylamino(fluoro)phosphoryl]-N-methylmethanamine,8264.0,High,Direct match from PubChem API.
Clethodim-imin-sulfoxid,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Clethodim-imin-sulfoxid/property/IUPACName/JSON
Cimaterol,PubChem_API,54239-37-1,2-amino-5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzonitrile,2755.0,High,Direct match from PubChem API.
Florfenicol amine,PubChem_API,76639-93-5,"(1R,2S)-2-amino-3-fluoro-1-(4-methylsulfonylphenyl)propan-1-ol",156406.0,High,Direct match from PubChem API.
Ochratoxin A,PubChem_API,303-47-9,"(2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoic acid",442530.0,High,Direct match from PubChem API.
(13C17)-AFB2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/(13C17)-AFB2/property/IUPACName/JSON
Doxycycline,PubChem_API,7164-70-7,"(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",54671203.0,High,Direct match from PubChem API.
etobenzanid,PubChem_API,79540-50-4,"N-(2,3-dichlorophenyl)-4-(ethoxymethoxy)benzamide",12771065.0,High,Direct match from PubChem API.
sebutylazine,PubChem_API,7286-69-3,"2-N-butan-2-yl-6-chloro-4-N-ethyl-1,3,5-triazine-2,4-diamine",23712.0,High,Direct match from PubChem API.
Oxamyl-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Oxamyl-2/property/IUPACName/JSON
"4,4'-dichlorobenzophenone",PubChem_API,90-98-2,bis(4-chlorophenyl)methanone,7034.0,High,Direct match from PubChem API.
Apomorphine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Apomorphine-1/property/IUPACName/JSON
Picrotin,PubChem_API,21416-53-5,"(1R,3R,5S,8S,9R,12S,13R,14S)-1-hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione",442291.0,High,Direct match from PubChem API.
dioxacarb,PubChem_API,6988-21-2,"[2-(1,3-dioxolan-2-yl)phenyl] N-methylcarbamate",23421.0,High,Direct match from PubChem API.
Desacetyl Cephapirin,PubChem_API,38115-21-8,"(6R,7R)-3-(hydroxymethyl)-8-oxo-7-[(2-pyridin-4-ylsulfanylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",162287.0,High,Direct match from PubChem API.
"silafluofen,",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/silafluofen,/property/IUPACName/JSON"
zeta cypermethrin,PubChem_API,1315501-18-8,"[(S)-cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",12617362.0,High,Direct match from PubChem API.
Eserine,PubChem_API,57-47-6,"[(3aR,8bS)-3,4,8b-trimethyl-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-7-yl] N-methylcarbamate",5983.0,High,Direct match from PubChem API.
Coumaphos-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Coumaphos-1/property/IUPACName/JSON
Ricinine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ricinine-1/property/IUPACName/JSON
trichloronat,PubChem_API,327-98-0,"ethoxy-ethyl-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9477.0,High,Direct match from PubChem API.
mexacarbate,PubChem_API,315-18-4,"[4-(dimethylamino)-3,5-dimethylphenyl] N-methylcarbamate",9414.0,High,Direct match from PubChem API.
Chlorpromazine,PubChem_API,50-53-3,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",2726.0,High,Direct match from PubChem API.
Pentazocine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Pentazocine-2/property/IUPACName/JSON
PFHpA,PubChem_API,375-85-9,"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid",67818.0,High,Direct match from PubChem API.
butachlor,PubChem_API,23184-66-9,"N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)acetamide",31677.0,High,Direct match from PubChem API.
fenaminosulf,PubChem_API,140-56-7,sodium N-[4-(dimethylamino)phenyl]iminosulfamate,23668198.0,High,Direct match from PubChem API.
bifenazate,PubChem_API,149877-41-8,propan-2-yl N-(2-methoxy-5-phenylanilino)carbamate,176879.0,High,Direct match from PubChem API.
tralkoxydim,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/tralkoxydim/property/IUPACName/JSON
Clethodim-imin-sulfon,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Clethodim-imin-sulfon/property/IUPACName/JSON
Tribufos (DEF6),PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Tribufos%20(DEF6)/property/IUPACName/JSON
Ethiofencarb-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ethiofencarb-2/property/IUPACName/JSON
Ricinine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ricinine-2/property/IUPACName/JSON
isouron,PubChem_API,55861-78-4,"3-(5-tert-butyl-1,2-oxazol-3-yl)-1,1-dimethylurea",41648.0,High,Direct match from PubChem API.
Cefazolin,PubChem_API,25953-19-9,"(6R,7R)-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",33255.0,High,Direct match from PubChem API.
Coumaphos-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Coumaphos-2/property/IUPACName/JSON
phosfolan,PubChem_API,947-02-4,"N-diethoxyphosphoryl-1,3-dithiolan-2-imine",13689.0,High,Direct match from PubChem API.
gibberellic acid,PubChem_API,77-06-5,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",6466.0,High,Direct match from PubChem API.
anilofos,PubChem_API,64249-01-0,N-(4-chlorophenyl)-2-dimethoxyphosphinothioylsulfanyl-N-propan-2-ylacetamide,91687.0,High,Direct match from PubChem API.
triazoxide,PubChem_API,72459-58-6,"7-chloro-3-imidazol-1-yl-1-oxido-1,2,4-benzotriazin-1-ium",93422.0,High,Direct match from PubChem API.
Sulfadiazine,PubChem_API,68-35-9,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,5215.0,High,Direct match from PubChem API.
**Zearalanol,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/**Zearalanol/property/IUPACName/JSON
isoxaben,PubChem_API,82558-50-7,"2,6-dimethoxy-N-[3-(3-methylpentan-3-yl)-1,2-oxazol-5-yl]benzamide",73672.0,High,Direct match from PubChem API.
Fenamiphos sulfoxide-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Fenamiphos%20sulfoxide-2/property/IUPACName/JSON
imibenzonazole-des-benzyl,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/imibenzonazole-des-benzyl/property/IUPACName/JSON
HFPO-DA,PubChem_API,13252-13-6,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propanoic acid",114481.0,High,Direct match from PubChem API.
thiazopyr,PubChem_API,117718-60-2,"methyl 2-(difluoromethyl)-5-(4,5-dihydro-1,3-thiazol-2-yl)-4-(2-methylpropyl)-6-(trifluoromethyl)pyridine-3-carboxylate",91776.0,High,Direct match from PubChem API.
phorate sulfone,PubChem_API,2588-04-7,diethoxy-(ethylsulfonylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,17425.0,High,Direct match from PubChem API.
Clethodim-sulfoxid,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Clethodim-sulfoxid/property/IUPACName/JSON
HT-2 toxin [13C22],PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HT-2%20toxin%20%5B13C22%5D/property/IUPACName/JSON
"4,4-dichlorobenzophenone",PubChem_API,90-98-2,bis(4-chlorophenyl)methanone,7034.0,High,Direct match from PubChem API.
etaconazole,PubChem_API,60207-93-4,"1-[[2-(2,4-dichlorophenyl)-4-ethyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",91673.0,High,Direct match from PubChem API.
phthalimide,PubChem_API,85-41-6,"isoindole-1,3-dione",6809.0,High,Direct match from PubChem API.
Amoxicillin,PubChem_API,26787-78-0,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",33613.0,High,Direct match from PubChem API.
Aldicarb sulfone-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aldicarb%20sulfone-1/property/IUPACName/JSON
PFDS,PubChem_API,335-77-3,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-henicosafluorodecane-1-sulfonic acid",67636.0,High,Direct match from PubChem API.
OTA,PubChem_API,303-47-9,"(2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoic acid",442530.0,High,Direct match from PubChem API.
tolclofos methyl,PubChem_API,57018-04-9,"(2,6-dichloro-4-methylphenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane",91664.0,High,Direct match from PubChem API.
(13C17)-AFB1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/(13C17)-AFB1/property/IUPACName/JSON
chlormequat chloride,PubChem_API,999-81-5,2-chloroethyl(trimethyl)azanium chloride,13836.0,High,Direct match from PubChem API.
warfarin,PubChem_API,81-81-2,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one,54678486.0,High,Direct match from PubChem API.
FB1,PubChem_API,116355-83-0,"(2R)-2-[2-[(5R,6R,7S,9S,11R,16R,18S,19S)-19-amino-6-[(3R)-3,4-dicarboxybutanoyl]oxy-11,16,18-trihydroxy-5,9-dimethylicosan-7-yl]oxy-2-oxoethyl]butanedioic acid",2733487.0,High,Direct match from PubChem API.
"phthalic acid, biscyclohexyl ester",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phthalic%20acid,%20biscyclohexyl%20ester/property/IUPACName/JSON"
M5PFHxA,PubChem_API,2328024-54-8,"2,2,3,3,4,4,5,5,6,6,6-undecafluoro(1,2,3,4,6-13C5)hexanoic acid",165363576.0,High,Direct match from PubChem API.
rabenzazole,PubChem_API,40341-04-6,"2-(3,5-dimethylpyrazol-1-yl)-1H-benzimidazole",38441.0,High,Direct match from PubChem API.
AFG1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AFG1/property/IUPACName/JSON
dithiopyr,PubChem_API,97886-45-8,"3-S,5-S-dimethyl 2-(difluoromethyl)-4-(2-methylpropyl)-6-(trifluoromethyl)pyridine-3,5-dicarbothioate",91757.0,High,Direct match from PubChem API.
DONA,PubChem_API,29031-19-4,"bis((2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal);sulfuric acid",73415774.0,High,Direct match from PubChem API.
FOSA,PubChem_API,754-91-6,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",69785.0,High,Direct match from PubChem API.
"phthalic acid,dicyclobexyl ester",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phthalic%20acid,dicyclobexyl%20ester/property/IUPACName/JSON"
fenthion oxon,PubChem_API,6552-12-1,dimethyl (3-methyl-4-methylsulfanylphenyl) phosphate,23046.0,High,Direct match from PubChem API.
"13C2,D4 8:2 FTS",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13C2,D4%208:2%20FTS/property/IUPACName/JSON"
heptanophos,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/heptanophos/property/IUPACName/JSON
phorate sulfoxide,PubChem_API,2588-03-6,diethoxy-(ethylsulfinylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,17424.0,High,Direct match from PubChem API.
4-aminopyridine,PubChem_API,504-24-5,pyridin-4-amine,1727.0,High,Direct match from PubChem API.
4:2 FTS,PubChem_API,414911-30-1,"3,3,4,4,5,5,6,6,6-nonafluorohexane-1-sulfonate",20734542.0,High,Direct match from PubChem API.
Penicillin G,PubChem_API,61-33-6,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",5904.0,High,Direct match from PubChem API.
Hydrocodone-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Hydrocodone-1/property/IUPACName/JSON
dipropetryn,PubChem_API,4147-51-7,"6-ethylsulfanyl-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",20105.0,High,Direct match from PubChem API.
flupropanate,PubChem_API,756-09-2,"2,2,3,3-tetrafluoropropanoic acid",69789.0,High,Direct match from PubChem API.
PFUdS,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/PFUdS/property/IUPACName/JSON
Tildipirosin,PubChem_API,328898-40-4,"(4R,5S,6S,7R,9R,11E,13E,15R,16R)-6-[(2R,3R,4S,5S,6R)-4-(dimethylamino)-3,5-dihydroxy-6-methyloxan-2-yl]oxy-16-ethyl-4-hydroxy-5,9,13-trimethyl-7-(2-piperidin-1-ylethyl)-15-(piperidin-1-ylmethyl)-1-oxacyclohexadeca-11,13-diene-2,10-dione",24860548.0,High,Direct match from PubChem API.
demeton-s,PubChem_API,126-75-0,1-diethoxyphosphorylsulfanyl-2-ethylsulfanylethane,24723.0,High,Direct match from PubChem API.
fenthion sulfone,PubChem_API,3761-42-0,dimethoxy-(3-methyl-4-methylsulfonylphenoxy)-sulfanylidene-lambda5-phosphane,19578.0,High,Direct match from PubChem API.
Tolfenamic Acid,PubChem_API,13710-19-5,2-(3-chloro-2-methylanilino)benzoic acid,610479.0,High,Direct match from PubChem API.
Lincomycin,PubChem_API,154-21-2,"(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",3000540.0,High,Direct match from PubChem API.
Hydrastine,PubChem_API,118-08-1,"(3S)-6,7-dimethoxy-3-[(5R)-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-3H-2-benzofuran-1-one",197835.0,High,Direct match from PubChem API.
Scopolamine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Scopolamine-1/property/IUPACName/JSON
thidiazuron,PubChem_API,51707-55-2,1-phenyl-3-(thiadiazol-5-yl)urea,40087.0,High,Direct match from PubChem API.
pentachloroaniline,PubChem_API,527-20-8,"2,3,4,5,6-pentachloroaniline",10693.0,High,Direct match from PubChem API.
Fenbendazole sulphone,PubChem_API,54029-20-8,methyl N-[6-(benzenesulfonyl)-1H-benzimidazol-2-yl]carbamate,162136.0,High,Direct match from PubChem API.
15-AcDON,PubChem_API,88337-96-6,"[(1R,2R,3S,7R,9R,10R,12S)-3,10-dihydroxy-1,5-dimethyl-4-oxospiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-2-yl]methyl acetate",10382483.0,High,Direct match from PubChem API.
Sulfamethoxypyridazine,PubChem_API,80-35-3,4-amino-N-(6-methoxypyridazin-3-yl)benzenesulfonamide,5330.0,High,Direct match from PubChem API.
PFBS,PubChem_API,375-73-5,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid",67815.0,High,Direct match from PubChem API.
MPFDoA,PubChem_API,960315-52-0,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluoro(1,2-13C2)dodecanoic acid",165363581.0,High,Direct match from PubChem API.
Sulfamethoxy-pyridazine,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sulfamethoxy-pyridazine/property/IUPACName/JSON
chlorobenzuron,PubChem_API,57160-47-1,2-chloro-N-[(4-chlorophenyl)carbamoyl]benzamide,108078.0,High,Direct match from PubChem API.
13C-DON,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13C-DON/property/IUPACName/JSON
Zearalenone,PubChem_API,17924-92-4,"(4S,12E)-16,18-dihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),12,15,17-tetraene-2,8-dione",5281576.0,High,Direct match from PubChem API.
Pentazocine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Pentazocine-1/property/IUPACName/JSON
mepiquat chloride,PubChem_API,24307-26-4,"1,1-dimethylpiperidin-1-ium chloride",62781.0,High,Direct match from PubChem API.
thiophanat ethyl,PubChem_API,23564-06-9,ethyl N-[[2-(ethoxycarbonylcarbamothioylamino)phenyl]carbamothioyl]carbamate,3032792.0,High,Direct match from PubChem API.
naptalam,PubChem_API,132-66-1,2-(naphthalen-1-ylcarbamoyl)benzoic acid,8594.0,High,Direct match from PubChem API.
Hydrocodone,PubChem_API,125-29-1,"(4R,4aR,7aR,12bS)-9-methoxy-3-methyl-1,2,4,4a,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",5284569.0,High,Direct match from PubChem API.
Pen G-d7,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Pen%20G-d7/property/IUPACName/JSON
M3PFBA,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/M3PFBA/property/IUPACName/JSON
PFTrDS,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/PFTrDS/property/IUPACName/JSON
Cloxacillin,PubChem_API,61-72-3,"(2S,5R,6R)-6-[[3-(2-chlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",6098.0,High,Direct match from PubChem API.
"13C2,D4 4:2 FTS",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13C2,D4%204:2%20FTS/property/IUPACName/JSON"
Zearalanol,PubChem_API,26538-44-3,"(4S,8R)-8,16,18-trihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),15,17-trien-2-one",2999413.0,High,Direct match from PubChem API.
atrazine-desethyl,PubChem_API,6190-65-4,"6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",22563.0,High,Direct match from PubChem API.
imazapic,PubChem_API,104098-48-8,5-methyl-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,91770.0,High,Direct match from PubChem API.
Abamectin-Na,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Abamectin-Na/property/IUPACName/JSON
DON,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/DON/property/IUPACName/JSON
Morantel tartrate,PubChem_API,26155-31-7,"(2R,3R)-2,3-dihydroxybutanedioic acid;1-methyl-2-[(E)-2-(3-methylthiophen-2-yl)ethenyl]-5,6-dihydro-4H-pyrimidine",6433951.0,High,Direct match from PubChem API.
Emetine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Emetine-1/property/IUPACName/JSON
Brodifacoum-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Brodifacoum-2/property/IUPACName/JSON
Monensin,PubChem_API,17090-79-8,"(2S,3R,4S)-4-[(2S,5R,7S,8R,9S)-2-[(2R,5S)-5-ethyl-5-[(2R,3S,5R)-5-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-3-methyloxolan-2-yl]oxolan-2-yl]-7-hydroxy-2,8-dimethyl-1,10-dioxaspiro[4.5]decan-9-yl]-3-methoxy-2-methylpentanoic acid",441145.0,High,Direct match from PubChem API.
kadethrin,PubChem_API,58769-20-3,"trans-(5-benzylfuran-3-yl)methyl (1R,3S)-2,2-dimethyl-3-[(E)-(2-oxothiolan-3-ylidene)methyl]cyclopropane-1-carboxylate",12940701.0,High,Direct match from PubChem API.
Colchicine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Colchicine-2/property/IUPACName/JSON
Ergotamine,PubChem_API,113-15-5,"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",8223.0,High,Direct match from PubChem API.
benalyxyl,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/benalyxyl/property/IUPACName/JSON
PFHxS,PubChem_API,355-46-4,"1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid",67734.0,High,Direct match from PubChem API.
disulfoton-sulfoxide,PubChem_API,2497-07-6,diethoxy-(2-ethylsulfinylethylsulfanyl)-sulfanylidene-lambda5-phosphane,17242.0,High,Direct match from PubChem API.
Aldicarb-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aldicarb-2/property/IUPACName/JSON
PFTrDA,PubChem_API,72629-94-8,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-pentacosafluorotridecanoic acid",3018355.0,High,Direct match from PubChem API.
Pentazocine,PubChem_API,359-83-1,"(1R,9R,13R)-1,13-dimethyl-10-(3-methylbut-2-enyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",441278.0,High,Direct match from PubChem API.
HT-2,PubChem_API,26934-87-2,"[(1S,2R,4S,7R,9R,10R,11S,12S)-2-(acetyloxymethyl)-10,11-dihydroxy-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-yl] 3-methylbutanoate",10093830.0,High,Direct match from PubChem API.
clodinafop propargyl,PubChem_API,105512-06-9,prop-2-ynyl (2R)-2-[4-[(5-chloro-3-fluoro-2-pyridinyl)oxy]phenoxy]propanoate,92431.0,High,Direct match from PubChem API.
prothoate,PubChem_API,2275-18-5,2-diethoxyphosphinothioylsulfanyl-N-propan-2-ylacetamide,16774.0,High,Direct match from PubChem API.
benzoylprop-ethyl,PubChem_API,22212-55-1,"ethyl 2-(N-benzoyl-3,4-dichloroanilino)propanoate",31068.0,High,Direct match from PubChem API.
Tetracycline,PubChem_API,60-54-8,"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",54675776.0,High,Direct match from PubChem API.
Sulfanitran,PubChem_API,122-16-7,N-[4-[(4-nitrophenyl)sulfamoyl]phenyl]acetamide,5334.0,High,Direct match from PubChem API.
Sulfadoxine,PubChem_API,2447-57-6,"4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",17134.0,High,Direct match from PubChem API.
imazamox,PubChem_API,114311-32-9,5-(methoxymethyl)-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,86137.0,High,Direct match from PubChem API.
Emamectin-amino,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Emamectin-amino/property/IUPACName/JSON
FB2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/FB2/property/IUPACName/JSON
Ketamine,PubChem_API,6740-88-1,2-(2-chlorophenyl)-2-(methylamino)cyclohexan-1-one,3821.0,High,Direct match from PubChem API.
Heroin-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Heroin-1/property/IUPACName/JSON
